,g1,g2
37859,ATP1A1,DYNC1H1
37860,ATP1A1,DYRK4
37861,ATP1A1,DLG4
37862,ATP1A1,DPPA3
37863,ATP1A1,E
37864,ATP1A1,E2F4
37865,ATP1A1,E5
37866,ATP1A1,E5A
37867,ATP1A1,E5B
37868,ATP1A1,EEF2
37869,ATP1A1,EFTUD2
37870,ATP1A1,EGFR
37871,ATP1A1,EGLN3
37872,ATP1A1,EIF3A
37873,ATP1A1,EIF3B
37874,ATP1A1,EIF3F
37875,ATP1A1,ELOVL5
37876,ATP1A1,EMC1
37877,ATP1A1,EMC2
37878,ATP1A1,EMD
37879,ATP1A1,EPRS
37880,ATP1A1,ERBB2
37881,ATP1A1,ERGIC1
37882,ATP1A1,ESR2
37883,ATP1A1,ESRRB
37884,ATP1A1,EXD2
37885,ATP1A1,EZH2
37886,ATP1A1,EZR
37887,ATP1A1,EED
37888,ATP1A1,FAF2
37889,ATP1A1,FAM20C
37890,ATP1A1,FAM60A
37891,ATP1A1,FASN
37892,ATP1A1,FBL
37893,ATP1A1,FBP1
37894,ATP1A1,FBXO25
37895,ATP1A1,FBXO6
37896,ATP1A1,FBXO7
37897,ATP1A1,FLNA
37898,ATP1A1,FLNB
37899,ATP1A1,FOXK1
37900,ATP1A1,FOXK2
37901,ATP1A1,FURIN
37902,ATP1A1,FXYD1
37903,ATP1A1,FXYD7
37904,ATP1A1,FANCD2
37905,ATP1A1,FBXO21
37906,ATP1A1,FNDC5
37907,ATP1A1,FXYD1
37908,ATP1A1,FXYD3
37909,ATP1A1,FXYD4
37910,ATP1A1,G6PD
37911,ATP1A1,GBAS
37912,ATP1A1,GDI2
37913,ATP1A1,GJA1
37914,ATP1A1,GJD3
37915,ATP1A1,GLP1R
37916,ATP1A1,GOLT1B
37917,ATP1A1,GPI
37918,ATP1A1,GPNMB
37919,ATP1A1,GPR35
37920,ATP1A1,GRWD1
37921,ATP1A1,GSPT2
37922,ATP1A1,GTPBP4
37923,ATP1A1,GJA1
37924,ATP1A1,GPNMB
37925,ATP1A1,GRIA1
37926,ATP1A1,GRIA4
37927,ATP1A1,H2AFY
37928,ATP1A1,HADHA
37929,ATP1A1,HADHB
37930,ATP1A1,HAVCR1
37931,ATP1A1,HDAC2
37932,ATP1A1,HDAC5
37933,ATP1A1,HDAC6
37934,ATP1A1,HEXIM1
37935,ATP1A1,HGS
37936,ATP1A1,HIPK4
37937,ATP1A1,HIST1H2AB
37938,ATP1A1,HIST1H2BB
37939,ATP1A1,HIST1H4A
37940,ATP1A1,HNRNPH3
37941,ATP1A1,HNRNPM
37942,ATP1A1,HNRNPUL2
37943,ATP1A1,HRAS
37944,ATP1A1,HSD17B11
37945,ATP1A1,HSD17B12
37946,ATP1A1,HSD3B7
37947,ATP1A1,HSP90AA1
37948,ATP1A1,HSP90B1
37949,ATP1A1,HSPA1A
37950,ATP1A1,HSPA5
37951,ATP1A1,HSPA8
37952,ATP1A1,HSPA9
37953,ATP1A1,HSPD1
37954,ATP1A1,HUWE1
37955,ATP1A1,HNRNPF
37956,ATP1A1,HTT
37957,ATP1A1,IFITM3
37958,ATP1A1,ILF3
37959,ATP1A1,ILK
37960,ATP1A1,INS
37961,ATP1A1,INSIG1
37962,ATP1A1,IPO5
37963,ATP1A1,IQCB1
37964,ATP1A1,IQGAP1
37965,ATP1A1,IRAK1
37966,ATP1A1,ISG15
37967,ATP1A1,ITGA5
37968,ATP1A1,ITGB3
37969,ATP1A1,ITM2B
37970,ATP1A1,JPH1
37971,ATP1A1,KCNMA1
37972,ATP1A1,KIAA0368
37973,ATP1A1,KIAA1429
37974,ATP1A1,KIF14
37975,ATP1A1,KLF16
37976,ATP1A1,KRAS
37977,ATP1A1,KRT17
37978,ATP1A1,KCNMA1
37979,ATP1A1,LAMP1
37980,ATP1A1,LAMP2
37981,ATP1A1,LAMP3
37982,ATP1A1,LAMTOR1
37983,ATP1A1,LASP1
37984,ATP1A1,LGALS3
37985,ATP1A1,LGALS9
37986,ATP1A1,LGR4
37987,ATP1A1,LIMK2
37988,ATP1A1,LMAN1
37989,ATP1A1,LMBR1L
37990,ATP1A1,LRPPRC
37991,ATP1A1,LRRC31
37992,ATP1A1,LRRC59
37993,ATP1A1,LYN
37994,ATP1A1,M
37995,ATP1A1,MAPK1
37996,ATP1A1,MAPK3
37997,ATP1A1,MAPK4
37998,ATP1A1,MAPK6
37999,ATP1A1,MAPK7
38000,ATP1A1,MARCH5
38001,ATP1A1,MARCKS
38002,ATP1A1,MATR3
38003,ATP1A1,MBOAT1
38004,ATP1A1,MECOM
38005,ATP1A1,METTL7A
38006,ATP1A1,MMS19
38007,ATP1A1,MRPL27
38008,ATP1A1,MRPL40
38009,ATP1A1,MRPS11
38010,ATP1A1,MRPS14
38011,ATP1A1,MSH2
38012,ATP1A1,MSX2
38013,ATP1A1,MTCH1
38014,ATP1A1,MTCH2
38015,ATP1A1,MUL1
38016,ATP1A1,MYH9
38017,ATP1A1,MYO1B
38018,ATP1A1,MYO1C
38019,ATP1A1,MYOF
38020,ATP1A1,MZT1
38021,ATP1A1,MAPT
38022,ATP1A1,NAA40
38023,ATP1A1,NAMPT
38024,ATP1A1,NCDN
38025,ATP1A1,NCKAP5L
38026,ATP1A1,NCLN
38027,ATP1A1,NCSTN
38028,ATP1A1,NDRG1
38029,ATP1A1,NDRG2
38030,ATP1A1,NDUFB2
38031,ATP1A1,NDUFB8
38032,ATP1A1,NDUFS1
38033,ATP1A1,NDUFS2
38034,ATP1A1,NDUFS4
38035,ATP1A1,NDUFV1
38036,ATP1A1,NELFA
38037,ATP1A1,NELFB
38038,ATP1A1,NELFCD
38039,ATP1A1,NFKB2
38040,ATP1A1,NIN
38041,ATP1A1,NOP2
38042,ATP1A1,NOP56
38043,ATP1A1,NOP58
38044,ATP1A1,NPC1
38045,ATP1A1,NR3C1
38046,ATP1A1,NRAS
38047,ATP1A1,NTRK1
38048,ATP1A1,NUDCD2
38049,ATP1A1,NUP107
38050,ATP1A1,NFIX
38051,ATP1A1,OCLN
38052,ATP1A1,OMA1
38053,ATP1A1,ORF3A
38054,ATP1A1,ORF3B
38055,ATP1A1,ORF6
38056,ATP1A1,ORF7A
38057,ATP1A1,ORF7B
38058,ATP1A1,ORF9B
38059,ATP1A1,OTUB1
38060,ATP1A1,P2RY6
38061,ATP1A1,PA2G4
38062,ATP1A1,PABPC1
38063,ATP1A1,PAGE4
38064,ATP1A1,PANX1
38065,ATP1A1,PARD3
38066,ATP1A1,PARK2
38067,ATP1A1,PC
38068,ATP1A1,PDCD11
38069,ATP1A1,PDHA1
38070,ATP1A1,PDSS2
38071,ATP1A1,PEBP1
38072,ATP1A1,PFKP
38073,ATP1A1,PGD
38074,ATP1A1,PHB
38075,ATP1A1,PHLPP1
38076,ATP1A1,PIH1D1
38077,ATP1A1,PINK1
38078,ATP1A1,PKD1
38079,ATP1A1,PKD2
38080,ATP1A1,PLEKHA4
38081,ATP1A1,PMAIP1
38082,ATP1A1,POLD1
38083,ATP1A1,POLR2A
38084,ATP1A1,PPP2R1A
38085,ATP1A1,PPP6C
38086,ATP1A1,PPT1
38087,ATP1A1,PRDM16
38088,ATP1A1,PRDX6
38089,ATP1A1,PRKCA
38090,ATP1A1,PRKDC
38091,ATP1A1,PRNP
38092,ATP1A1,PRPF8
38093,ATP1A1,PSMA1
38094,ATP1A1,PSMA4
38095,ATP1A1,PSMA6
38096,ATP1A1,PSMA7
38097,ATP1A1,PSMB5
38098,ATP1A1,PSMC1
38099,ATP1A1,PSMC2
38100,ATP1A1,PSMC3
38101,ATP1A1,PSMC4
38102,ATP1A1,PSMC5
38103,ATP1A1,PSMC6
38104,ATP1A1,PSMD11
38105,ATP1A1,PSMD12
38106,ATP1A1,PSMD2
38107,ATP1A1,PSMD3
38108,ATP1A1,PTBP1
38109,ATP1A1,PTPN1
38110,ATP1A1,POU5F1
38111,ATP1A1,PPP1R9B
38112,ATP1A1,PRKAA1
38113,ATP1A1,PRKAB1
38114,ATP1A1,PRNP
38115,ATP1A1,RAB11A
38116,ATP1A1,RAB1A
38117,ATP1A1,RAB1B
38118,ATP1A1,RAB2A
38119,ATP1A1,RAB35
