,g1,g2
17040,ARL17A,SLC31A1
17041,ARL17A,TMEM74
17042,ARL17A,TSPAN3
19133,ART3,ALCAM
19134,ART3,ARSK
19135,ART3,ATP12A
19136,ART3,ART3
19137,ART3,CBWD3
19138,ART3,CHD1L
19139,ART3,DDX19B
19140,ART3,DYNC2LI1
19141,ART3,GALNT7
19142,ART3,GPD1L
19143,ART3,HSPA12A
19144,ART3,ITGA7
19145,ART3,ITGA8
19146,ART3,KIAA1919
19147,ART3,MAP2K2
19148,ART3,MDN1
19149,ART3,MGAT5
19150,ART3,MAPK11
19151,ART3,MAPK14
19152,ART3,NAGLU
19153,ART3,NCF1
19154,ART3,PAM
19155,ART3,PIGO
19156,ART3,POGLUT1
19157,ART3,PRKCD
19158,ART3,PSEN2
19159,ART3,RAB39B
19160,ART3,RPS2
19161,ART3,SCAMP2
19162,ART3,SPG7
19163,ART3,TEX101
19164,ART3,VMP1
19799,AFF4,AFF1
19800,AFF4,AP2B1
19801,AFF4,APEX1
19802,AFF4,AR
19803,AFF4,ARL6IP4
19804,AFF4,ARRB2
19805,AFF4,AFF1
19806,AFF4,AFF4
19807,AFF4,CAMKV
19808,AFF4,CCDC8
19809,AFF4,CCNT1
19810,AFF4,CCNT2
19811,AFF4,CD3EAP
19812,AFF4,CDK15
19813,AFF4,CDK9
19814,AFF4,CNOT1
19815,AFF4,COIL
19816,AFF4,CT45A5
19817,AFF4,CTR9
19818,AFF4,DAXX
19819,AFF4,DDX23
19820,AFF4,DENND2D
19821,AFF4,DHX8
19822,AFF4,DMAP1
19823,AFF4,EAF1
19824,AFF4,EAF2
19825,AFF4,EDA
19826,AFF4,ELL
19827,AFF4,ELL2
19828,AFF4,ELL3
19829,AFF4,ELP2
19830,AFF4,ELP4
19831,AFF4,EPB41L1
19832,AFF4,EPB41L3
19833,AFF4,EPB41L5
19834,AFF4,ESF1
19835,AFF4,ESR1
19836,AFF4,FAM133A
19837,AFF4,FAM9A
19838,AFF4,FGF12
19839,AFF4,FMR1
19840,AFF4,GOLGA2
19841,AFF4,GRK5
19842,AFF4,GRK6
19843,AFF4,H2AFZ
19844,AFF4,HECW2
19845,AFF4,HEXIM1
19846,AFF4,HIST1H1B
19847,AFF4,HIST1H2BH
19848,AFF4,HIST1H3A
19849,AFF4,HNRNPL
19850,AFF4,JMY
19851,AFF4,KIAA1429
19852,AFF4,KIF14
19853,AFF4,KIF23
19854,AFF4,KMT2A
19855,AFF4,LRRK2
19856,AFF4,LRRTM4
19857,AFF4,LYAR
19858,AFF4,MDK
19859,AFF4,MED19
19860,AFF4,MED26
19861,AFF4,MLLT1
19862,AFF4,MLLT3
19863,AFF4,MTUS2
19864,AFF4,MLLT1
19865,AFF4,NAA40
19866,AFF4,NFKBIL1
19867,AFF4,NIFK
19868,AFF4,NOLC1
19869,AFF4,NOP56
19870,AFF4,PAF1
19871,AFF4,PARP1
19872,AFF4,PBX2
19873,AFF4,PES1
19874,AFF4,PIP4K2A
19875,AFF4,PIP4K2C
19876,AFF4,PLCD3
19877,AFF4,PLCD4
19878,AFF4,PTTG1IP
19879,AFF4,RASA2
19880,AFF4,RNF151
19881,AFF4,RSBN1
19882,AFF4,RXRB
19883,AFF4,SIAH1
19884,AFF4,SMOC1
19885,AFF4,SP110
19886,AFF4,SPP1
19887,AFF4,SYT2
19888,AFF4,SIAH1A
19889,AFF4,TCEB3
19890,AFF4,TERF2IP
19891,AFF4,TNRC6A
19892,AFF4,TRAF2
19893,AFF4,TRIM24
19894,AFF4,TRIM25
19895,AFF4,UBE2O
19896,AFF4,UBR5
19897,AFF4,USP7
19898,AFF4,XRCC6
19899,AFF4,ZNF330
19900,AFF4,TAT
19901,AFF4,VPR
25428,ALK,ACTB
25429,ALK,ACTN4
25430,ALK,ALK
25431,ALK,BCAR1
25432,ALK,BICD2
25433,ALK,CDK13
25434,ALK,CDK9
25435,ALK,CENPF
25436,ALK,CORO1C
25437,ALK,CSPG4
25438,ALK,DUSP19
25439,ALK,EIF4B
25440,ALK,EPHA1
25441,ALK,EPHA2
25442,ALK,EPHB2
25443,ALK,ERAP1
25444,ALK,ERBB2
25445,ALK,ERRFI1
25446,ALK,EPHA8
25447,ALK,EPHB3
25448,ALK,ERBB3
25449,ALK,FLII
25450,ALK,FES
25451,ALK,FGFR1
25452,ALK,FGFR2
25453,ALK,GAK
25454,ALK,GNB2L1
25455,ALK,GPC1
25456,ALK,GPR50
25457,ALK,GRB2
25458,ALK,HBA2
25459,ALK,HIST1H1B
25460,ALK,HIST1H1E
25461,ALK,HSP90AA1
25462,ALK,HSPD1
25463,ALK,IKBKG
25464,ALK,IRF7
25465,ALK,IRS1
25466,ALK,IRS4
25467,ALK,JAK2
25468,ALK,JAK3
25469,ALK,KIF14
25470,ALK,KRT18
25471,ALK,KRT74
25472,ALK,KIT
25473,ALK,LARS2
25474,ALK,LEMD3
25475,ALK,MAP2K7
25476,ALK,MAP3K1
25477,ALK,MAP3K4
25478,ALK,MAP3K5
25479,ALK,MAPK1
25480,ALK,MAPK8IP3
25481,ALK,MDK
25482,ALK,MEP1B
25483,ALK,MTIF2
25484,ALK,MYBPC2
25485,ALK,MYH10
25486,ALK,MYH9
25487,ALK,MYLK
25488,ALK,MYO6
25489,ALK,MAP3K4
25490,ALK,MATK
25491,ALK,MEP1B
25492,ALK,MERTK
25493,ALK,MST1R
25494,ALK,NAGK
25495,ALK,NHLRC2
25496,ALK,NPY4R
25497,ALK,NF1
25498,ALK,PDLIM3
25499,ALK,PDX1
25500,ALK,PIK3CB
25501,ALK,PIK3R1
25502,ALK,PLCB2
25503,ALK,PLCG1
25504,ALK,PPM1A
25505,ALK,PRKCQ
25506,ALK,PTN
25507,ALK,PXN
25508,ALK,PLCB2
25509,ALK,PTK7
25510,ALK,RAB35
25511,ALK,RAD17
25512,ALK,RET
25513,ALK,SHC1
25514,ALK,SHC3
25515,ALK,SMC6
25516,ALK,SOCS1
25517,ALK,SOCS5
25518,ALK,SRC
25519,ALK,STAT3
25520,ALK,SHC1
25521,ALK,SHC3
25522,ALK,TNK2
25523,ALK,TUBB4B
25524,ALK,TUBGCP2
25525,ALK,UBASH3A
25526,ALK,VGF
25527,ALK,VIM
25528,ALK,ZC3HC1
25529,ALK,CNK
25530,ALK,JEB
26265,APC,ACADVL
26266,APC,ACTN1
26267,APC,ACTR3
26268,APC,AGFG1
26269,APC,AGR3
26270,APC,AKAP13
26271,APC,ALDH2
26272,APC,AMER1
26273,APC,AMOT
26274,APC,ANAPC2
26275,APC,ANKRD17
26276,APC,ANKRD28
26277,APC,ANP32B
26278,APC,ANXA7
26279,APC,AP2B1
26280,APC,AP2M1
26281,APC,ARHGAP21
26282,APC,ARHGEF4
26283,APC,ARL13B
26284,APC,ASAP1
26285,APC,ASAP2
26286,APC,AXIN1
26287,APC,AXIN2
26288,APC,AP2M1
26289,APC,APC
26290,APC,APC2
26291,APC,APOBEC1
26292,APC,ASAP1
26293,APC,ASAP2
26294,APC,ASPH
26295,APC,AXIN1
26296,APC,AXIN2
26297,APC,B3GAT1
26298,APC,BAAT
26299,APC,BBX
26300,APC,BLOC1S6
26301,APC,BTRC
26302,APC,BUB1
26303,APC,BUB1B
26304,APC,BUB3
26305,APC,BTC
26306,APC,BUB1B
26307,APC,C2CD4B
26308,APC,C4A
26309,APC,CASC3
26310,APC,CAV1
26311,APC,CCDC6
26312,APC,CCDC71
26313,APC,CCL5
26314,APC,CDK4
26315,APC,CDK9
26316,APC,CEP128
26317,APC,CEP135
26318,APC,CEP250
26319,APC,CEP85
26320,APC,CFTR
26321,APC,CG13895
26322,APC,CGNL1
26323,APC,COG4
