,g1,g2
20418,AHNAK,FANCD2
20419,AHNAK,FBXO32
20420,AHNAK,FLNB
20421,AHNAK,FNDC5
20422,AHNAK,GALK2
20423,AHNAK,GALNTL5
20424,AHNAK,GBF1
20425,AHNAK,GJB7
20426,AHNAK,GORASP2
20427,AHNAK,GPR141
20428,AHNAK,GRB2
20429,AHNAK,GRPEL1
20430,AHNAK,HDAC2
20431,AHNAK,HDAC6
20432,AHNAK,HIST1H2BB
20433,AHNAK,HIST1H2BH
20434,AHNAK,HIST1H4A
20435,AHNAK,HIST2H2BE
20436,AHNAK,HIST3H3
20437,AHNAK,HMGB1
20438,AHNAK,HNRNPAB
20439,AHNAK,HNRNPD
20440,AHNAK,HNRNPDL
20441,AHNAK,HNRNPH1
20442,AHNAK,HNRNPM
20443,AHNAK,HSD17B3
20444,AHNAK,HSPA1A
20445,AHNAK,HSPA5
20446,AHNAK,HSPA9
20447,AHNAK,HSPB1
20448,AHNAK,HSPD1
20449,AHNAK,ING2
20450,AHNAK,INPPL1
20451,AHNAK,ISG15
20452,AHNAK,ITGB4
20453,AHNAK,ITK
20454,AHNAK,JADE3
20455,AHNAK,JSRP1
20456,AHNAK,KIAA1429
20457,AHNAK,KIF14
20458,AHNAK,KIF20A
20459,AHNAK,KIF23
20460,AHNAK,KLHL40
20461,AHNAK,KCTD5
20462,AHNAK,LASP1
20463,AHNAK,LIG4
20464,AHNAK,LIMA1
20465,AHNAK,LOC100128274
20466,AHNAK,LRRC31
20467,AHNAK,LRRK2
20468,AHNAK,LIMA1
20469,AHNAK,MCM2
20470,AHNAK,MED4
20471,AHNAK,MEOX2
20472,AHNAK,METTL14
20473,AHNAK,MMGT1
20474,AHNAK,MORC4
20475,AHNAK,MTA2
20476,AHNAK,MTHFD1
20477,AHNAK,MYC
20478,AHNAK,MYH9
20479,AHNAK,MYL6
20480,AHNAK,MYO19
20481,AHNAK,METTL21E
20482,AHNAK,NAA40
20483,AHNAK,NDN
20484,AHNAK,NOL9
20485,AHNAK,NR2C2
20486,AHNAK,NUDT12
20487,AHNAK,NUPR1
20488,AHNAK,NXF1
20489,AHNAK,OBSL1
20490,AHNAK,OR10H1
20491,AHNAK,OXCT1
20492,AHNAK,PABPC1
20493,AHNAK,PAICS
20494,AHNAK,PARK2
20495,AHNAK,PCBP1
20496,AHNAK,PCDHGC3
20497,AHNAK,PCK2
20498,AHNAK,PDIA3
20499,AHNAK,PER2
20500,AHNAK,PHLPP1
20501,AHNAK,PIH1D1
20502,AHNAK,PINK1
20503,AHNAK,PLEC
20504,AHNAK,PLEKHA4
20505,AHNAK,PLEKHG3
20506,AHNAK,PLOD1
20507,AHNAK,PLOD3
20508,AHNAK,PML
20509,AHNAK,PMS1
20510,AHNAK,PNPLA3
20511,AHNAK,POLH
20512,AHNAK,POT1
20513,AHNAK,PPIP5K2
20514,AHNAK,PPL
20515,AHNAK,PPP1R9A
20516,AHNAK,PPP3CB
20517,AHNAK,PPT1
20518,AHNAK,PRC1
20519,AHNAK,PRPF8
20520,AHNAK,PRRC2C
20521,AHNAK,PRX
20522,AHNAK,PSME3
20523,AHNAK,PTEN
20524,AHNAK,PYCR2
20525,AHNAK,POU5F1
20526,AHNAK,PPP1CB
20527,AHNAK,RBM15
20528,AHNAK,RFPL2
20529,AHNAK,RHBDD1
20530,AHNAK,RHBDF2
20531,AHNAK,RNF123
20532,AHNAK,RNF38
20533,AHNAK,RNF4
20534,AHNAK,RNF41
20535,AHNAK,RPA1
20536,AHNAK,RPA2
20537,AHNAK,RPA3
20538,AHNAK,RPF2
